Row Num,Season,Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,Open OU,,Close OU,
3110,2016/2017,1110,10,H,Detroit,2,0,1,3,-205,-179,-1.5(+175),5,110,5,105
3111,2016/2017,1110,11,V,LosAngeles,0,0,1,1,140,112,+1.5(-260),5,-125,5,-110
3112,2016/2017,1110,12,H,Montreal,2,1,1,4,-160,-132,-1.5(+210),5,105,5,-110
3113,2016/2017,1110,13,V,NYIslanders,0,1,0,1,150,155,+1.5(-205),5.5,110,5.5,110
3114,2016/2017,1110,14,H,TampaBay,2,1,1,4,-170,-175,-1.5(+175),5.5,-130,5.5,-130
3115,2016/2017,1110,15,V,St.Louis,1,0,0,1,120,120,+1.5(-260),5,-125,5,-125
3116,2016/2017,1110,16,H,Nashville,0,1,2,3,-140,-140,-1.5(+210),5,105,5,105
3117,2016/2017,1110,17,V,Winnipeg,1,1,1,3,-102,-120,-1.5(+225),5.5,-120,5.5,-135
3118,2016/2017,1110,18,H,Arizona,1,0,1,2,-118,100,+1.5(-275),5.5,100,5.5,115
3119,2016/2017,1110,19,V,Dallas,2,0,2,4,110,115,+1.5(-260),5.5,-120,5.5,-110
3120,2016/2017,1110,20,H,Calgary,0,2,0,2,-130,-135,-1.5(+210),5.5,100,5.5,-110
3121,2016/2017,1111,51,V,NewJersey,0,0,1,2,-113,102,+1.5(-305),5,-110,5,-110
3122,2016/2017,1111,52,H,Buffalo,1,0,0,1,-107,-122,-1.5(+245),5,-110,5,-110
3123,2016/2017,1111,53,V,Philadelphia,2,1,0,3,-111,-111,-1.5(+250),5.5,-115,5.5,-130
3124,2016/2017,1111,54,H,Toronto,2,0,4,6,-109,-109,+1.5(-315),5.5,-105,5.5,110
3125,2016/2017,1111,55,V,LosAngeles,0,1,0,1,115,-120,-1.5(+250),5,-140,5,-135
3126,2016/2017,1111,56,H,Ottawa,0,0,2,2,-135,100,+1.5(-315),5,120,5,115
3127,2016/2017,1111,57,V,Washington,2,0,0,3,-103,-126,-1.5(+230),5,-110,5,-105
3128,2016/2017,1111,58,H,Chicago,1,0,1,2,-117,106,+1.5(-290),5,-110,5,-115
3129,2016/2017,1111,59,V,Dallas,2,1,0,3,144,166,+1.5(-180),5.5,-135,5.5,-115
3130,2016/2017,1111,60,H,Edmonton,2,0,0,2,-164,-186,-1.5(+160),5.5,115,5.5,-105
3131,2016/2017,1111,61,V,Winnipeg,0,2,0,2,120,115,+1.5(-245),5.5,-125,5.5,105
3132,2016/2017,1111,62,H,Colorado,0,2,0,3,-140,-135,-1.5(+205),5.5,105,5.5,-125
3133,2016/2017,1112,1,V,St.Louis,1,1,2,4,-115,-135,-1.5(+230),5,-125,5,-125
3134,2016/2017,1112,2,H,Columbus,3,4,1,8,-105,115,+1.5(-290),5,105,5,105
3135,2016/2017,1112,3,V,SanJose,2,1,0,3,-102,115,+1.5(-300),5,-115,5,-125
3136,2016/2017,1112,4,H,TampaBay,0,0,1,1,-118,-135,-1.5(+240),5,-105,5,105
3137,2016/2017,1112,5,V,Washington,1,0,0,1,-150,-145,-1.5(+210),5,-130,5,-135
3138,2016/2017,1112,6,H,Carolina,2,2,1,5,130,125,+1.5(-260),5,110,5,115
3139,2016/2017,1112,7,V,Toronto,1,0,0,1,200,200,+1.5(-140),5.5,-135,5.5,-120
3140,2016/2017,1112,8,H,Pittsburgh,0,2,2,4,-240,-240,-1.5(+120),5.5,115,5.5,100
3141,2016/2017,1112,9,V,NYIslanders,1,1,0,2,140,135,+1.5(-200),5,-140,5,-140
3142,2016/2017,1112,10,H,Florida,0,0,2,3,-160,-155,-1.5(+170),5,120,5,120
3143,2016/2017,1112,11,V,Minnesota,1,1,0,2,-118,-124,-1.5(+230),5,-130,5,-140
3144,2016/2017,1112,12,H,Philadelphia,1,1,1,3,-102,104,+1.5(-290),5,110,5,120
3145,2016/2017,1112,13,V,Detroit,0,0,0,0,150,160,+1.5(-205),5,-120,5,-125
3146,2016/2017,1112,14,H,Montreal,3,2,0,5,-170,-180,-1.5(+175),5,100,5,105
3147,2016/2017,1112,15,V,Buffalo,0,1,1,2,130,140,+1.5(-235),5,125,5,125
3148,2016/2017,1112,16,H,NewJersey,1,2,1,4,-150,-160,-1.5(+195),5,-145,5,-145
3149,2016/2017,1112,17,V,Boston,0,2,0,2,-135,-170,-1.5(+185),5.5,110,5.5,-105
3150,2016/2017,1112,18,H,Arizona,0,0,1,1,115,150,+1.5(-215),5.5,-130,5.5,-115
3151,2016/2017,1112,19,V,Anaheim,0,0,0,0,113,108,+1.5(-275),5,-125,5,-120
3152,2016/2017,1112,20,H,Nashville,1,3,1,5,-133,-128,-1.5(+225),5,105,5,100
3153,2016/2017,1112,21,V,NYRangers,2,2,0,4,-140,-140,-1.5(+200),5.5,-105,5.5,110
3154,2016/2017,1112,22,H,Calgary,0,0,1,1,120,120,+1.5(-240),5.5,-115,5.5,-130
3155,2016/2017,1113,51,V,LosAngeles,1,0,1,2,100,105,+1.5(-300),5.5,115,5.5,125
3156,2016/2017,1113,52,H,Winnipeg,2,0,0,3,-120,-125,-1.5(+240),5.5,-135,5.5,-145
3157,2016/2017,1113,53,V,Dallas,2,1,1,4,-130,-128,-1.5(+225),5.5,100,5.5,125
3158,2016/2017,1113,54,H,Vancouver,1,0,3,5,110,108,+1.5(-275),5.5,-120,5.5,-145
3159,2016/2017,1113,55,V,Minnesota,1,0,0,2,105,125,+1.5(-240),5,-140,5,-135
3160,2016/2017,1113,56,H,Ottawa,0,0,1,1,-125,-145,-1.5(+200),5,120,5,115
3161,2016/2017,1113,57,V,Montreal,0,2,0,2,135,145,+1.5(-205),5,-125,5,-145
3162,2016/2017,1113,58,H,Chicago,1,2,0,3,-155,-165,-1.5(+175),5,105,5,125
3163,2016/2017,1113,59,V,Boston,1,0,1,2,115,-121,-1.5(+230),5.5,105,5.5,120
3164,2016/2017,1113,60,H,Colorado,0,0,0,0,-135,101,+1.5(-290),5.5,-125,5.5,-140
3165,2016/2017,1113,61,V,NYRangers,2,1,0,3,-105,110,+1.5(-275),5.5,100,5.5,100
3166,2016/2017,1113,62,H,Edmonton,1,0,0,1,-115,-130,-1.5(+225),5.5,-120,5.5,-120
3167,2016/2017,1114,1,V,TampaBay,2,2,0,4,-144,-125,-1.5(+225),5,-145,5.5,100
3168,2016/2017,1114,2,H,NYIslanders,0,0,0,0,124,105,+1.5(-275),5,125,5.5,-120
